timestamp,endpoint,response_time,status_code
1739805039.1546104,/properties,48.28,200
1739805039.1558533,/property,86.491,200
1739805039.1589015,/property,84.544,200
1739805039.1609468,/property,57.821,200
1739805039.202326,/properties,97.021,200
1739805039.2044137,/agency,130.443,200
1739805039.2050486,/agency,132.833,200
1739805039.2055583,/agency,136.459,200
1739805039.206057,/property,97.542,200
1739805039.2436142,/property,132.119,200
1739805039.2462485,/agency,138.396,200
1739805039.248754,/property,139.27100000000002,200
1739805039.2507906,/property,141.97199999999998,200
1739805039.2523367,/agency,180.38199999999998,200
1739805039.254103,/agency,149.18300000000002,200
1739805039.2557402,/properties,143.61599999999999,200
1739805039.2858908,/properties,173.05200000000002,200
1739805039.2872646,/properties,174.12,200
1739805039.2884977,/property,174.557,200
1739805039.2903237,/properties,175.596,200
1739805039.3290632,/properties,212.636,200
1739805039.3300226,/property,212.077,200
1739805039.3303277,/properties,213.636,200
1739805039.3505325,/properties,228.256,200
1739805039.3829162,/properties,257.18,200
1739805039.3849957,/property,265.791,200
1739805039.3864932,/property,255.82399999999998,200
1739805039.4337656,/properties,302.399,200
1739805039.4348874,/agency,324.168,200
1739805039.4354057,/property,303.153,200
1739805039.4361975,/agency,326.47700000000003,200
1739805039.441132,/property,310.869,200
1739805039.4614506,/properties,334.63,200
1739805039.4627645,/agency,347.478,200
1739805039.4643745,/agency,346.76099999999997,200
1739805039.4658368,/agency,346.594,200
1739805039.4669726,/agency,346.95599999999996,200
1739805039.4687223,/agency,347.775,200
1739805039.4727626,/agency,351.119,200
1739805039.4776018,/agency,353.07,200
1739805039.479734,/agency,354.42699999999996,200
1739805039.4823947,/agency,359.39300000000003,200
1739805039.4840457,/agency,357.774,200
1739805039.4858963,/agency,358.41299999999995,200
1739805039.4875772,/agency,359.28700000000003,200
1739805039.4896472,/agency,359.755,200
1739805039.4901197,/agency,356.845,200
1739805039.5051484,/property,381.748,200
1739805039.5094743,/property,405.31600000000003,200
1739805039.5143363,/property,385.686,200
1739805039.911958,/agency,85.19,200
1739805039.9125655,/agency,87.909,200
1739805039.913171,/properties,83.44200000000001,200
1739805039.9365582,/properties,94.496,200
1739805039.9419305,/properties,60.943,200
1739805039.9436438,/property,32.967999999999996,200
1739805039.9459903,/properties,25.817,200
1739805039.9478755,/agency,51.988,200
1739805039.9489791,/properties,9.903,200
1739805039.9498975,/agency,45.227000000000004,200
1739805039.9542654,/agency,13.248,200
1739805039.9873102,/properties,31.067999999999998,200
1739805040.0203848,/properties,35.505,200
1739805040.0586865,/properties,59.384,200
1739805040.062009,/agency,60.623000000000005,200
1739805040.0629957,/property,37.839999999999996,200
1739805040.1790574,/property,38.597,200
1739805040.1851497,/agency,117.449,200
1739805040.1857111,/property,156.15699999999998,200
1739805040.1862402,/property,121.574,200
1739805040.2109,/properties,30.901999999999997,200
1739805040.2114406,/property,30.105,200
1739805040.2118747,/property,33.077000000000005,200
1739805040.2123215,/properties,36.443999999999996,200
1739805040.2147312,/property,35.861999999999995,200
1739805040.2445984,/agency,50.263000000000005,200
1739805040.245468,/agency,71.37599999999999,200
1739805040.246206,/agency,74.908,200
1739805040.2469237,/properties,58.611999999999995,200
1739805040.2476895,/agency,67.40400000000001,200
1739805040.2484677,/properties,63.63399999999999,200
1739805040.2574701,/agency,70.30699999999999,200
1739805040.2580688,/property,154.34400000000002,200
1739805040.2586613,/properties,157.81400000000002,200
1739805040.2603807,/property,161.198,200
1739805040.2817814,/properties,191.168,200
1739805040.3095555,/properties,234.266,200
1739805040.326191,/properties,108.825,200
1739805040.3287976,/agency,243.537,200
1739805040.3293252,/agency,241.138,200
1739805040.3298202,/agency,236.847,200
1739805040.3309681,/property,251.618,200
1739805040.3487492,/properties,267.093,200
1739805040.362266,/agency,284.829,200
1739805040.3651102,/property,255.81300000000002,200
1739805040.365917,/property,187.917,200
1739805040.366771,/property,254.772,200
1739805040.3735385,/properties,267.64700000000005,200
1739805040.3775704,/property,273.844,200
1739805040.396814,/properties,144.364,200
1739805040.404798,/properties,292.135,200
1739805040.418613,/property,302.48900000000003,200
1739805040.4201665,/property,300.56100000000004,200
1739805040.4386265,/properties,315.671,200
1739805040.4406059,/agency,175.95,200
1739805040.4418674,/property,316.01099999999997,200
1739805040.443905,/properties,145.74599999999998,200
1739805040.444462,/agency,208.078,200
1739805040.4728558,/properties,173.571,200
1739805040.4741373,/property,160.48399999999998,200
1739805040.4747715,/property,165.993,200
1739805040.4758956,/property,350.09499999999997,200
1739805040.4802802,/properties,352.191,200
1739805040.4826813,/properties,352.762,200
1739805040.4844687,/property,352.53200000000004,200
1739805040.4927537,/properties,358.75600000000003,200
1739805040.4935954,/property,357.137,200
1739805040.5234697,/properties,384.40000000000003,200
1739805040.524276,/property,382.993,200
1739805040.5479488,/properties,404.937,200
1739805040.5529625,/property,395.272,200
1739805040.5535216,/property,397.15299999999996,200
1739805040.5539322,/property,401.559,200
1739805040.5543053,/properties,408.23199999999997,200
1739805040.5896122,/properties,430.00100000000003,200
